population,numATMs,ATMwithdr,withdrvalue,unemprate,numbranches
759,0,"missing","missing",.0458211,.125
9610,1,".8964238167","101.6650238",.0699272,1.1875
4062,0,"missing","missing",.0512063,.375
2069,0,"missing","missing",.0665236,.375
13644,1,"1.00361681","98.96154022",.0404573,1.041667
1439,0,"missing","missing",.0347464,.25
3560,0,"missing","missing",.0246154,.25
1807,1,"2.062936306","96.94845581",.0311396,.75
1696,0,"missing","missing",.0293488,.375
1548,0,"missing","missing",.0334842,.25
5384,1,"1.473031163","95.84368896",.0446205,.75
22767,5,"1.450160861","100.11306",.029153,1
4167,0,"missing","missing",.012239,.125
3454,0,"missing","missing",.0229435,.625
2372,0,"missing","missing",.0229435,.125
3428,0,"missing","missing",.0210035,.375
3298,0,"missing","missing",.0222802,.75
3202,0,"missing","missing",.0249844,.375
3964,0,"missing","missing",.0310293,.125
7175,2,"1.779466152","95.03134155",.0373644,.875
5642,1,".86173141","105.2473068",.0198063,.375
7151,2,"1.569693089","102.9070663",.0317536,.75
4014,0,"missing","missing",.0317536,.5
9315,2,"1.066265464","93.27333069",.0304885,.875
3801,0,"missing","missing",.0296053,.375
3884,1,"1.571695209","102.4687729",.038294,.625
3025,1,"1.775403023","95.05799103",.0450119,.625
6264,1,".9132902622","91.3938446",.0376756,1
3166,0,"missing","missing",.0339188,.625
5672,1,"1.22033298","90.56572723",.034732,.625
8065,2,"1.046435833","92.64220428",.0365778,.875
4338,0,"missing","missing",.0348087,.5
16563,2,".7542394996","94.16767883",.0439534,1
1704,0,"missing","missing",.0397767,.625
2282,0,"missing","missing",.0468887,.25
5444,1,"1.683511257","98.68174744",.0493057,.75
4494,0,"missing","missing",.0493057,.125
2062,0,"missing","missing",.0408418,.25
2934,0,"missing","missing",.0374915,.25
1143,0,"missing","missing",.0334408,.25
2287,1,"3.03749299","95.28032684",.0448702,.875
4982,1,"1.278869152","94.37862396",.0479727,.625
2806,0,"missing","missing",.0345688,.125
8893,1,".6376715899","91.03958893",.0748557,.625
7576,2,"1.29340446","100.7301941",.0748557,.75
5923,0,"missing","missing",.0748557,.5
6662,0,"missing","missing",.0748557,.5
4200,0,"missing","missing",.0748557,.25
5283,0,"missing","missing",.0390479,.375
2195,0,"missing","missing",.0390479,.5
9309,1,".5849875808","95.21927643",.0286819,.5
14883,3,"1.306135654","93.60323334",.0438561,.875
3881,0,"missing","missing",.0438561,.25
7972,0,"missing","missing",.0479177,.625
20705,2,".7008264661","91.61351013",.0772277,1.5
19338,2,".7671863437","86.8683548",.0463854,.8125
7540,0,"missing","missing",.059947,.375
16410,1,".2110013515","91.3610611",.0717086,.875
13971,1,".6816714406","94.93348694",.0705748,.625
4088,0,"missing","missing",.0531985,.625
8306,0,"missing","missing",.0580297,.125
8612,1,".8782936335","90.87445068",.0500155,.5
5119,0,"missing","missing",.0789612,.125
3976,0,"missing","missing",.0789612,.5
2303,0,"missing","missing",.0789612,.125
6022,1,"1.174333811","91.29078674",.0622671,.625
3885,0,"missing","missing",.0622671,.375
4763,0,"missing","missing",.0622671,.375
3045,0,"missing","missing",.0622671,.125
6761,0,"missing","missing",.0792782,.125
16837,2,".8420166373","96.1883316",.0808339,1.375
5833,2,"1.459722281","95.8325119",.0704098,.75
5055,0,"missing","missing",.051632,.25
4137,0,"missing","missing",.0577149,.75
4752,0,"missing","missing",.0577149,.25
3379,0,"missing","missing",.0577149,.5
1658,0,"missing","missing",.0577149,.125
10761,0,"missing","missing",.0577149,.5
8261,1,"1.210383654","100.3331985",.0712723,.875
2668,0,"missing","missing",.0712723,.125
1753,0,"missing","missing",.0476569,.25
2466,0,"missing","missing",.0476569,.375
4611,0,"missing","missing",.0411859,.5
5534,1,".6962084174","95.37226868",.0572993,.5
7081,1,".8562020659","92.14253235",.0560277,1
9597,1,".335419476","92.48649597",.0457435,.625
2892,1,"2.226155519","100.722168",.0423291,.5
774,0,"missing","missing",.0423291,.125
3204,0,"missing","missing",.028402,.125
5413,0,"missing","missing",.0358396,1.125
7672,2,"1.168520451","91.56642151",.0438972,.875
1115,0,"missing","missing",.0438972,.125
4419,0,"missing","missing",.0438972,.875
4335,0,"missing","missing",.0438972,.5
12195,2,"1.710284472","96.83535004",.0448922,1.15
3745,0,"missing","missing",.0448922,.125
7581,0,"missing","missing",.0300752,.75
10982,2,"1.306880474","98.80274963",.040703,.875
7881,2,"1.472971678","98.07759857",.0502017,.875
3522,0,"missing","missing",.0502017,.375
3089,0,"missing","missing",.0502017,.125
3801,0,"missing","missing",.0310445,.75
3217,0,"missing","missing",.0335716,.625
5600,0,"missing","missing",.0371429,.875
7593,3,"1.669424057","91.24485779",.0508268,.875
2588,0,"missing","missing",.0401252,.125
5757,1,".6562033296","93.26359558",.0401252,.75
2521,0,"missing","missing",.0401252,.5
1988,0,"missing","missing",.0437406,.5
5436,0,"missing","missing",.0394343,.625
2193,0,"missing","missing",.0572614,.5
4443,1,"1.724946737","98.28172302",.0572614,.75
4331,0,"missing","missing",.0572614,.375
2288,0,"missing","missing",.0572614,.25
21166,2,".5445098281","103.4272919",.0160163,2.0625
17483,1,".4483821988","107.6940231",.0186011,2.25
4505,0,"missing","missing",.0186011,.875
20941,4,"1.251651525","105.7045441",.0245074,2
11080,0,"missing","missing",.0148014,1.125
9300,1,".5918306708","101.8360214",.0229757,1.5
9471,3,"2.219798088","103.0928192",.027588,1.5
1947,0,"missing","missing",.027588,.125
2136,0,"missing","missing",.0287446,.125
5848,2,"2.196088552","97.41171265",.0287446,.625
8813,1,".4920577407","100.6745987",.0170203,1
11147,1,".4406499863","100.9786377",.0199157,1
13272,1,".1206427738","97.6962204",.0218505,1.875
13647,1,".335483849","106.5392227",.0131897,1.625
15590,0,"missing","missing",.0236374,1.75
2959,0,"missing","missing",.0236374,.5
7282,0,"missing","missing",.0190062,1
11426,1,".4963078797","103.4518051",.0144407,1.3125
2642,0,"missing","missing",.017398,.25
2843,0,"missing","missing",.017398,.125
2292,0,"missing","missing",.017398,.125
2414,0,"missing","missing",.017398,.5
11385,1,".4578080773","114.0425339",.0146324,1.75
1610,0,"missing","missing",.0146324,.375
5997,2,"1.741032004","110.7810593",.0205569,1
16782,1,".4934487045","101.2538071",.0198344,2.041667
12236,1,".4764026701","110.4280243",.0176528,2.0625
10332,2,"1.69500649","103.1369324",.0291328,1.5
11766,1,".8072932959","98.84175873",.0252422,1.291667
3608,0,"missing","missing",.0160754,.75
3231,0,"missing","missing",.0133086,.875
7686,0,"missing","missing",.0246584,1.375
9880,3,"1.945586085","91.9427948",.0445344,1.5
19952,4,"1.200423479","96.09113312",.0257117,2.25
8147,1,".725746572","104.9367218",.0211121,1.125
1959,0,"missing","missing",.0192906,.625
2862,0,"missing","missing",.0192906,.25
19115,2,".5492725372","106.7582855",.0164792,2.0625
8936,0,"missing","missing",.0155551,1.125
7931,0,"missing","missing",.0137435,1.625
14557,1,".556840539","112.9893799",.0116095,1.875
6593,0,"missing","missing",.0160777,1
12647,1,".3250842094","106.2973633",.0128884,1.8125
5012,0,"missing","missing",.0181564,.625
11036,1,".4088104963","110.7789764",.0160384,1
10659,1,".8606224656","113.0030136",.0157613,1
7367,0,"missing","missing",.0120809,1
5122,1,".8678088784","114.5751801",.0192233,.625
3365,1,"1.315969825","105.8219299",.0192233,.375
8312,1,".6079999804","109.7693329",.0116699,1
18800,2,".7700666785","103.52314",.0223936,1
9768,0,"missing","missing",.0103399,1.5625
10965,1,".4068943262","110.6049728",.0104879,1.8125
7077,1,".5750519633","107.0419769",.0140485,1
2319,0,"missing","missing",.0140485,.25
5491,0,"missing","missing",.0131124,1
9369,0,"missing","missing",.0114206,1.6875
10690,1,".3994190097","106.8862381",.0143124,1.291667
23076,2,".9229896069","102.1011505",.0235204,1.3
3712,0,"missing","missing",.0235204,.5
2590,0,"missing","missing",.0235204,.125
1938,0,"missing","missing",.0235204,.25
3760,0,"missing","missing",.0235204,.75
7602,1,".4355109632","104.2374954",.0202578,1.4375
17744,1,".3064308763","104.0971603",.0220356,1.875
1513,0,"missing","missing",.0192515,.5
2143,0,"missing","missing",.0192515,.25
1422,0,"missing","missing",.0192515,.125
1170,0,"missing","missing",.0192515,.75
966,0,"missing","missing",.0320911,.25
14810,2,".7556730509","94.554039",.0195302,1.416667
3223,0,"missing","missing",.0196696,.875
1913,0,"missing","missing",.0196696,.25
11581,0,"missing","missing",.0154564,2.625
12906,1,".6009353399","106.3694839",.0458646,1.5
13761,1,".5011779666","98.47068024",.0458646,1.125
6125,2,"2.281940937","104.1749878",.0458646,.875
6836,1,".7197579145","101.0924301",.0458646,1
17166,2,".7442624569","105.3601608",.0161948,1.6875
19098,1,".4921216965","111.120163",.0151848,1.8125
10410,2,"1.411535025","107.797142",.0158501,1.125
9433,0,"missing","missing",.0272382,.875
7217,0,"missing","missing",.025483,.75
39128,3,".5215342045","104.1817856",.0165616,3.5
6342,0,"missing","missing",.0166641,1.375
25780,2,".4975192547","106.0636597",.0287432,1.375
14583,1,".2830706239","100.0014954",.0211205,1.875
36532,2,".4846330285","104.4028168",.0301106,2.3125
16981,1,".3545768857","111.0510254",.0160492,2.125
5745,0,"missing","missing",.0236728,.75
6785,0,"missing","missing",.0197494,.875
15166,1,".6153121591","112.5062332",.0237278,1.5
43034,4,".7584825158","104.0313644",.0258865,5.125
22712,2,".5210309029","108.6389618",.0218387,1.8125
22765,2,".7286242247","111.9231873",.0256973,1.541667
20348,2,".6147605181","110.0933914",.0300275,1.125
10319,0,"missing","missing",.0156023,1
13652,1,".4514239728","108.3833313",.0186053,1.5
11040,1,".3346348107","111.2226334",.0213768,1.5
11606,0,"missing","missing",.0160262,1.625
17301,1,".4651495218","103.3214417",.0212704,1.25
13776,1,".4007479548","109.8556213",.0224303,1.75
8849,0,"missing","missing",.0328495,1.25
11888,0,"missing","missing",.0328495,1.375
16943,1,".4616884589","115.2474518",.0218379,1.75
22793,3,"1.002136827","110.3294144",.0233437,2.5625
5466,0,"missing","missing",.0233437,.625
543,0,"missing","missing",.0233437,.125
1440,0,"missing","missing",.0233437,.25
3080,0,"missing","missing",.0233437,.25
19101,2,".6308820844","116.0848999",.0198942,2.25
14531,1,".5291415453","115.1158142",.0223759,1.5
23696,3,".8189507723","106.5480804",.0251367,1.75
7215,0,"missing","missing",.0251367,.25
8039,1,".457480967","108.4906311",.0195175,1.5
13281,1,".4627785385","116.9291",.0207575,1.375
1942,0,"missing","missing",.0207575,.25
4137,0,"missing","missing",.0160267,.375
1742,0,"missing","missing",.0160267,.5
23740,2,".6309022903","97.92996216",.0434288,1.25
24531,2,".7241038084","112.1759186",.0165505,2.125
6907,0,"missing","missing",.0150904,.625
780,0,"missing","missing",.0150904,.125
12998,1,".5472792387","112.817421",.0195806,1.5
1921,0,"missing","missing",.0124935,.125
2806,0,"missing","missing",.0184582,.375
2039,0,"missing","missing",.0184582,.125
1602,0,"missing","missing",.0184582,.125
6099,0,"missing","missing",.0224627,1.125
28028,3,".8726828098","110.626915",.0172328,2.90625
7993,0,"missing","missing",.0151439,1
4815,1,".4866833687","107.0684052",.014478,1
6029,0,"missing","missing",.009786,.5
27597,2,".6493980885","108.5168076",.0152915,1.78125
10908,0,"missing","missing",.0136597,1.375
21947,2,".6839649081","108.9347305",.0147173,1.6875
6098,0,"missing","missing",.0130196,.625
10165,1,".5751049519","105.2248688",.0123955,.75
10986,0,"missing","missing",.0125614,1.3125
13231,1,".3454016149","106.8241348",.0154939,1.3125
14547,1,".4781113565","112.2714462",.0171857,1.5
16298,2,".8345572352","109.7519989",.0152079,1.25
2245,0,"missing","missing",.0152079,.125
11879,1,".8094422817","115.4501953",.0171732,1
18964,2,".9379882216","105.1158371",.0352774,1
7793,0,"missing","missing",.020018,1
7975,1,".7915924788","110.2389984",.014421,.875
6938,0,"missing","missing",.0167605,.9375
714,0,"missing","missing",.0167605,.125
31271,2,".51656425","107.8255844",.019379,2.6875
7942,1,".5932735801","100.2192688",.0255603,.875
5887,0,"missing","missing",.0209605,.75
2013,0,"missing","missing",.0209605,.375
5697,0,"missing","missing",.0209605,.875
2598,0,"missing","missing",.0208911,.375
3529,0,"missing","missing",.0208911,.5
2862,0,"missing","missing",.0217658,.5
601,0,"missing","missing",.0217658,.125
1028,0,"missing","missing",.0217658,.25
2033,0,"missing","missing",.0217658,.5
15521,2,".6984899044","110.1268387",.0231947,.875
5941,0,"missing","missing",.0231947,.875
